"audit_id","user_id","table_name","record_id","action","timestamp","description"
1,1,"users",1,"INSERT","2025-12-13 08:45:13","User account created"
2,2,"terminals",2,"INSERT","2025-12-13 08:45:13","Terminal added"
4,4,"jeepneys",4,"UPDATE","2025-12-13 08:45:13","Jeepney status updated"
5,5,"trips",5,"DELETE","2025-12-13 08:45:13","Updated audit description"
6,6,"seats",6,"UPDATE","2025-12-13 08:45:13","Seat count updated"
7,7,"terminaljeeps",7,"INSERT","2025-12-13 08:45:13","Jeepney arrived at terminal"
8,8,"notifications",8,"INSERT","2025-12-13 08:45:13","Notification sent"
9,9,"users",9,"UPDATE","2025-12-13 08:45:13","User role updated"
10,10,"routes",10,"INSERT","2025-12-13 08:45:13","New route added"
11,11,"jeepneys",11,"UPDATE","2025-12-13 08:45:13","Jeepney under maintenance"
12,12,"trips",12,"INSERT","2025-12-13 08:45:13","Trip scheduled"
13,13,"seats",13,"UPDATE","2025-12-13 08:45:13","Passenger boarded"
14,14,"terminals",14,"UPDATE","2025-12-13 08:45:13","Terminal status changed"
15,15,"notifications",15,"INSERT","2025-12-13 08:45:13","System alert sent"
16,16,"auditlogs",16,"INSERT","2025-12-13 08:45:13","Audit record created"
17,17,"users",17,"UPDATE","2025-12-13 08:45:13","XP points updated"
18,18,"routes",18,"INSERT","2025-12-13 08:45:13","Route created"
19,19,"jeepneys",19,"UPDATE","2025-12-13 08:45:13","Jeepney available"
20,20,"trips",20,"INSERT","2025-12-13 08:45:13","Trip added"
